Community Type,Inoculum,Salinity,Type,Number,PA A,PA B,SL A,SL B,SP A,SP B,SC A,SC B
Mixed,Fresh,Low,MFL,133,10.5,17.3,5.3,16.5,0.9,0,3.3,5.8
Native,Sterile,Low,NCL,134,NA,NA,15.9,33.5,6.6,5.7,10.8,16.8
Phragmites,Saline,High,PSH,135,50.4,50,NA,NA,NA,NA,NA,NA
Native,Saline,High,NSH,136,NA,NA,6,28.1,3.6,3.5,2.9,7.2
Phragmites,Fresh,Low,PFL,137,16.4,20.9,NA,NA,NA,NA,NA,NA
Phragmites,Fresh,High,PFH,139,7.3,8.9,NA,NA,NA,NA,NA,NA
Mixed,Saline,High,MSH,140,10.1,26.6,4.6,9.3,0.6,0.6,1.8,4.2
Mixed,Saline,High,MSH,141,13.5,31.7,2.7,9.7,2.3,3.4,1.7,5.9
Native,Fresh,High,NFH,142,NA,NA,37.8,36.9,10.8,4.2,14.7,9.8
Mixed,Saline,Low,MSL,143,6.4,13.6,3.7,12,1.7,1.8,0.7,2.9
Mixed,Saline,High,MSH,144,18.6,28,3.8,16.2,2.1,0.7,0.6,6.7
